Disco Messages
Device Address,Device Name,Disco

Parameters
Device Path,Device Name,Node Addr (hex),Node Addr (dec),Object Addr (hex),Object Addr (dec),Parameter Path,Parameter,Command Type,Value,Command
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 11,Mute [0x3E9],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\xE9\x00\x00\x00\x00\x6E\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 12,Gain [0x44C],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x04\x4C\x00\x05\x00\x00\xD1\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 12,Mute [0x44D],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x04\x4D\x00\x00\x00\x01\xCC\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 12,Mute [0x44D],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x04\x4D\x00\x00\x00\x00\xCD\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F],Main Gain [0x4E20],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x4E\x20\x00\x05\x00\x00\xF7\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F],Main Mute [0x4E21],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x4E\x21\x00\x00\x00\x01\xEA\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F],Main Mute [0x4E21],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x4E\x21\x00\x00\x00\x00\xEB\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000112",274,Audio [0x3] : Mic Source Select [0.1.12],Input Number [0x0],Set,1,\x02\x88\x00\x01\x1B\x83\x00\x01\x12\x00\x00\x00\x00\x00\x01\x98\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000112",274,Audio [0x3] : Mic Source Select [0.1.12],Input Number [0x0],Set,2,\x02\x88\x00\x01\x1B\x83\x00\x01\x12\x00\x00\x00\x00\x00\x1B\x82\x9B\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300012C",300,Audio [0x3] : Line Source Select [0.1.2C],Input Number [0x0],Set,1,\x02\x88\x00\x01\x1B\x83\x00\x01\x2C\x00\x00\x00\x00\x00\x01\xA6\x03
